Form_orth,Form_ipa,Form_meaning,Donor_orth,Donor_ipa
penapena,penapena,to save up (accumulate money for a specific purpose),,
peopeo,peopeo,slippery,,
pepa,pepa,paper,paper,peɪpə
pera,pera,pillow,,
Petera,petera,"A male given name, equivalent to English Peter.",,
Peti,peti,"A female given name, equivalent to English Betty, Betsy, and Bessie.",,
pewa,pewa,eyebrow,,
pihapiha,pihapiha,"a blowhole (of a cetacean), a gill (of an aquatic animal)",,
piki,piki,fig tree,,
pine,pine,"pin, tack, brooch",pin,pɪn
piopio,piopio,"piopio (Turnagra spp.)
Synonyms: korohea, koropio, tiutiu, tiutiukata",,
pirau,pirau,rotten,,
Piri,piri,"A male given name, equivalent to English Bill.",,
pirihimana,pirihimana,"police, police officer, constable",policeman,pəliːsmən
Pirihira,pirihira,"A female given name, equivalent to English Priscilla.",,
pirikoko,pirikoko,mystery,,
Piripane,piripane,"(location) Brisbane (a large city, the capital city of Queensland, Australia).",,
Piripi,piripi,"A male given name, equivalent to English Philip.",,
Pita,pita,"A male given name, equivalent to English Peter.",,
pito,pito,navel,,
poaka,poaka,"pig, pork",,
Poihākena,poihaːkena,"Sydney (the capital of New South Wales, Australia)",,
Poipiripi,poipiripi,"(location) Melbourne, the capital of Victoria.",,
poke,poke,grimy,,
pokokohua,pokokohua,"(offensive, vulgar) upokokohua",,
ponga,poŋa,"silver fern (Alsophila dealbata)
Synonym: kaponga",,
pono,pono,"truth, non-fiction, validity, Kua kitea e mātou te pono",,
poporokaiwhiri,poporokaifiri,"pigeonwood (Hedycarya arborea)
Synonyms: kaiwhiri, porokaiwhiri, porokaiwhiria, poroporokaiwhiria",,
Poriwia,poriwia,Bolivia (a country in South America),,
Poronai,poronai,Brunei (a country in Asia),,
pota,pota,sample,,
Potukara,potukara,Portugal (a country in Europe),,
pou,pou,pillar,,
pounamu,pounamu,greenstone,,
puha,puha,gill (of fish),,
pukapuka,pukapuka,book,,
puke,puke,(geography) hill,,
puku,puku,"(anatomy) stomach, belly",,
pune,pune,spoon,,
Purukāria,purukaːria,Bulgaria (a country in Europe),,
puta,puta,"hole, anus",,
putoko,putoko,slug,,
pā,paː,"to touch, strike, hit (as by a stone), tag, affect",,
pākaha,paːkaha,"strict, severe",,
Pākaratēhi,paːkarateːhi,Bangladesh (a country in Asia),,
pākaukau,paːkaukau,wing,,
pākehā,paːkehaː,"New Zealander of European descent, foreigner, alien",,
pākete,paːkete,pocket,pocket,pɒkɪt
pāngarau,paːŋarau,mathematics,,
Pāniora,paːniora,Spain,,
Pāora,paːora,"A male given name, equivalent to English Paul.",,
pāpā,paːpaː,"father, dad",,
pāreti,paːreti,porridge,porridge,pɒɹɪd͡ʒ
